hPa,u,v
1003.579007,0,0
996.4140244,-4.313953154,-0.001688721
989.2484028,-4.488252893,-0.002276264
982.0079578,-4.591326132,-0.001943505
974.6131337,-4.642989794,-0.001681549
966.9384359,-4.678022169,-0.000918634
958.8325761,-4.705559933,0.000916892
950.1386409,-4.732279545,0.002426033
940.722379,-4.7601292,0.004089165
930.4960383,-4.785425752,0.004731285
919.4263624,-4.835890678,0.004948116
907.515871,-4.893110314,0.002599857
894.7596918,-4.925795656,0.00025641
881.1077548,-4.944010538,-0.000238953
866.4549826,-4.956206783,-0.000294259
850.6687242,-4.966900913,-8.17E-05
833.6455939,-4.977154685,-0.000988981
815.3689016,-4.981251038,-0.001475038
795.9459792,-4.985079288,-0.000566341
775.606588,-4.985258591,-0.000705228
754.6595513,-4.990214621,-0.000205225
733.4307027,-4.989558241,0.000444077
712.2076195,-4.990604599,0.000377522
691.2079105,-4.992327093,0.000251677
670.5736865,-4.995326644,0.000777588
650.3839247,-4.997557226,-0.000661458
630.6740281,-4.996117639,-0.000259473
611.4542823,-4.993863599,-0.000804099
592.7192088,-4.996047556,-0.000642821
574.4550523,-4.994585439,-0.000479638
556.6526,-4.996797366,-0.000680403
539.3077953,-4.997430342,0.000429834
522.4138055,-4.997611725,0.001672304
505.9615044,-4.998317662,0.001827721
489.9414964,-4.997640433,0.000571251
474.3441784,-4.995978267,0.001343152
459.1594691,-4.997984057,0.000656716
444.3769015,-4.999143614,0.000286443
429.9869729,-4.998352675,-0.000281302
415.9792783,-4.998609968,-0.000593341
402.3420711,-4.997742122,-0.000762584
389.0658082,-4.997913799,-0.000873941
376.1428871,-4.997260356,-0.001342666
363.5658382,-4.997640292,0.00081095
351.3248924,-5.000960726,0.000661027
339.4083231,-5.001450726,-0.001907984
327.8073421,-5.000146178,-0.000306838
316.5157424,-4.998020164,0.000922435
305.5274066,-5.000457679,-0.001447189
294.8345004,-5.001600042,-0.000721013
284.4277261,-5.00192811,-0.000420301
274.2999605,-5.001090892,-0.001350958
264.4459929,-5.001301991,0.000999487
254.8598388,-4.999626829,0.001595587
245.5348572,-4.998664606,0.002050304
236.4654345,-4.996033034,0.002267006
227.646862,-4.991795693,-0.000290334
219.074249,-4.992536596,-0.001895208
210.7425556,-4.991127276,-0.003345903
202.6470577,-4.991651922,-0.003442723
194.7833118,-4.992734207,-0.002601856
187.1469629,-4.993503866,-0.00055091
179.733709,-4.993836858,-0.000444028
172.5393236,-4.99493696,4.61E-06
165.5593012,-4.996212288,0.003118792
158.7875869,-4.995963113,0.001666735
152.2147143,-4.995552359,0.00338569
145.825297,-4.9962348,0.003433001
139.5927165,-4.996687721,0.000519536
133.4718827,-4.998829919,0.00083222
127.3954516,-4.99896417,-0.001845139
121.2776064,-4.997087623,-0.001309553
115.0302335,-4.998281314,-0.002768595
108.5904468,-4.999443826,-0.000951293
101.9469936,-4.998710995,-0.001169168
95.15254188,-4.999073086,-0.00076068
88.31749424,-4.999081147,-0.000207803
81.58065553,-4.999407236,-0.000864787
75.07205885,-4.998974397,-0.000452414
68.89422279,-4.998970912,-0.000199137
63.11663205,-4.998206826,-0.000152359
57.77348708,-4.997708417,-0.000511942
52.86637584,-5,0